image_id,image_path,label,mask_path,split,source,protected
authentic_0002af997ecdfcf4,authentic/0002af997ecdfcf4.jpg,0,,test,authentic,False
authentic_001ec67e5cbcca49,authentic/001ec67e5cbcca49.jpg,0,,train,authentic,False
authentic_0025f55cd14a317f,authentic/0025f55cd14a317f.jpg,0,,val,authentic,False
authentic_0046c554d88fd64c,authentic/0046c554d88fd64c.jpg,0,,train,authentic,False
authentic_004ac779f9e48b13,authentic/004ac779f9e48b13.jpg,0,,val,authentic,False
authentic_005488266cea9a1c,authentic/005488266cea9a1c.jpg,0,,train,authentic,False
authentic_00623315ed358ffb,authentic/00623315ed358ffb.jpg,0,,train,authentic,False
authentic_00861f99f6e306bb,authentic/00861f99f6e306bb.jpg,0,,train,authentic,False
authentic_008f749ba53d3c2d,authentic/008f749ba53d3c2d.jpg,0,,test,authentic,False
authentic_009afead12387135,authentic/009afead12387135.jpg,0,,val,authentic,False
authentic_00a20986a3abbd4c,authentic/00a20986a3abbd4c.jpg,0,,train,authentic,False
authentic_00e95ac2b01b68bd,authentic/00e95ac2b01b68bd.jpg,0,,train,authentic,False
authentic_00f44a518c6bace6,authentic/00f44a518c6bace6.jpg,0,,train,authentic,False
authentic_00f4de8a765ff5c9,authentic/00f4de8a765ff5c9.jpg,0,,test,authentic,False
authentic_00f7c842aed37e79,authentic/00f7c842aed37e79.jpg,0,,train,authentic,False
authentic_01273541d336929e,authentic/01273541d336929e.jpg,0,,train,authentic,False
authentic_012c137ae597329e,authentic/012c137ae597329e.jpg,0,,val,authentic,False
authentic_01319a4c71e952a6,authentic/01319a4c71e952a6.jpg,0,,train,authentic,False
authentic_013b758ee1792132,authentic/013b758ee1792132.jpg,0,,test,authentic,False
authentic_013cc0ed61095164,authentic/013cc0ed61095164.jpg,0,,train,authentic,False
authentic_01a916bfaa3a7427,authentic/01a916bfaa3a7427.jpg,0,,train,authentic,False
authentic_01ae80324f71027b,authentic/01ae80324f71027b.jpg,0,,train,authentic,False
authentic_01cd5f2b8663d152,authentic/01cd5f2b8663d152.jpg,0,,test,authentic,False
authentic_01ea859fc00fd3e7,authentic/01ea859fc00fd3e7.jpg,0,,train,authentic,False
